127.0.0.1 - - [05/Jul/2017:14:58:07 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [05/Jul/2017:14:58:11 +0800] "GET /BookLib-JavaEE/ HTTP/1.1" 200 3194
0:0:0:0:0:0:0:1 - - [05/Jul/2017:14:58:12 +0800] "GET /BookLib-JavaEE/bower_components/fullcalendar/dist/fullcalendar.css HTTP/1.1" 404 1083
0:0:0:0:0:0:0:1 - - [05/Jul/2017:14:58:12 +0800] "GET /BookLib-JavaEE/bower_components/chosen/chosen.min.css HTTP/1.1" 404 1057
0:0:0:0:0:0:0:1 - - [05/Jul/2017:14:58:12 +0800] "GET /BookLib-JavaEE/bower_components/colorbox/example3/colorbox.css HTTP/1.1" 404 1075
0:0:0:0:0:0:0:1 - - [05/Jul/2017:14:58:12 +0800] "GET /BookLib-JavaEE/bower_components/responsive-tables/responsive-tables.css HTTP/1.1" 404 1093
0:0:0:0:0:0:0:1 - - [05/Jul/2017:14:58:12 +0800] "GET /BookLib-JavaEE/bower_components/bootstrap-tour/build/css/bootstrap-tour.min.css HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [05/Jul/2017:14:58:12 +0800] "GET /BookLib-JavaEE/css/jquery.noty.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2017:14:58:12 +0800] "GET /BookLib-JavaEE/css/elfinder.theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2017:14:58:12 +0800] "GET /BookLib-JavaEE/css/charisma-app.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2017:14:58:12 +0800] "GET /BookLib-JavaEE/css/noty_theme_default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2017:14:58:12 +0800] "GET /BookLib-JavaEE/css/elfinder.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2017:14:58:12 +0800] "GET /BookLib-JavaEE/css/bootstrap-cerulean.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2017:14:58:12 +0800] "GET /BookLib-JavaEE/css/jquery.iphone.toggle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2017:14:58:12 +0800] "GET /BookLib-JavaEE/css/uploadify.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2017:14:58:12 +0800] "GET /BookLib-JavaEE/css/animate.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2017:14:58:13 +0800] "GET /BookLib-JavaEE/bower_components/fullcalendar/dist/fullcalendar.print.css HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [05/Jul/2017:14:58:13 +0800] "GET /BookLib-JavaEE/ HTTP/1.1" 200 3194
0:0:0:0:0:0:0:1 - - [05/Jul/2017:14:58:13 +0800] "GET /BookLib-JavaEE/css/bootstrap-cerulean.min.css HTTP/1.1" 200 114267
0:0:0:0:0:0:0:1 - - [05/Jul/2017:14:58:14 +0800] "GET /BookLib-JavaEE/css/charisma-app.css HTTP/1.1" 200 17043
0:0:0:0:0:0:0:1 - - [05/Jul/2017:14:58:14 +0800] "GET /BookLib-JavaEE/bower_components/fullcalendar/dist/fullcalendar.css HTTP/1.1" 404 1083
0:0:0:0:0:0:0:1 - - [05/Jul/2017:14:58:14 +0800] "GET /BookLib-JavaEE/bower_components/fullcalendar/dist/fullcalendar.print.css HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [05/Jul/2017:14:58:14 +0800] "GET /BookLib-JavaEE/bower_components/chosen/chosen.min.css HTTP/1.1" 404 1057
0:0:0:0:0:0:0:1 - - [05/Jul/2017:14:58:14 +0800] "GET /BookLib-JavaEE/bower_components/colorbox/example3/colorbox.css HTTP/1.1" 404 1075
0:0:0:0:0:0:0:1 - - [05/Jul/2017:14:58:14 +0800] "GET /BookLib-JavaEE/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2017:14:58:14 +0800] "GET /BookLib-JavaEE/bower_components/responsive-tables/responsive-tables.css HTTP/1.1" 404 1093
0:0:0:0:0:0:0:1 - - [05/Jul/2017:14:58:14 +0800] "GET /BookLib-JavaEE/bower_components/bootstrap-tour/build/css/bootstrap-tour.min.css HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [05/Jul/2017:14:58:14 +0800] "GET /BookLib-JavaEE/css/jquery.noty.css HTTP/1.1" 200 2116
0:0:0:0:0:0:0:1 - - [05/Jul/2017:14:58:14 +0800] "GET /BookLib-JavaEE/css/noty_theme_default.css HTTP/1.1" 200 8752
0:0:0:0:0:0:0:1 - - [05/Jul/2017:14:58:14 +0800] "GET /BookLib-JavaEE/css/elfinder.min.css HTTP/1.1" 200 29647
0:0:0:0:0:0:0:1 - - [05/Jul/2017:14:58:14 +0800] "GET /BookLib-JavaEE/css/jquery.iphone.toggle.css HTTP/1.1" 200 3901
0:0:0:0:0:0:0:1 - - [05/Jul/2017:14:58:14 +0800] "GET /BookLib-JavaEE/css/uploadify.css HTTP/1.1" 200 2543
0:0:0:0:0:0:0:1 - - [05/Jul/2017:14:58:14 +0800] "GET /BookLib-JavaEE/css/elfinder.theme.css HTTP/1.1" 200 1825
0:0:0:0:0:0:0:1 - - [05/Jul/2017:14:58:14 +0800] "GET /BookLib-JavaEE/css/animate.min.css HTTP/1.1" 200 54881
0:0:0:0:0:0:0:1 - - [05/Jul/2017:14:58:18 +0800] "GET /BookLib-JavaEE/img/favicon.ico HTTP/1.1" 200 4286
0:0:0:0:0:0:0:1 - - [05/Jul/2017:14:58:24 +0800] "GET /BookLib-JavaEE/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 200 20290
0:0:0:0:0:0:0:1 - - [05/Jul/2017:15:00:20 +0800] "POST /BookLib-JavaEE/login HTTP/1.1" 200 4944
0:0:0:0:0:0:0:1 - - [05/Jul/2017:15:00:20 +0800] "GET /BookLib-JavaEE/bower_components/fullcalendar/dist/fullcalendar.css HTTP/1.1" 404 1083
0:0:0:0:0:0:0:1 - - [05/Jul/2017:15:00:20 +0800] "GET /BookLib-JavaEE/bower_components/chosen/chosen.min.css HTTP/1.1" 404 1057
0:0:0:0:0:0:0:1 - - [05/Jul/2017:15:00:20 +0800] "GET /BookLib-JavaEE/bower_components/fullcalendar/dist/fullcalendar.print.css HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [05/Jul/2017:15:00:20 +0800] "GET /BookLib-JavaEE/bower_components/colorbox/example3/colorbox.css HTTP/1.1" 404 1075
0:0:0:0:0:0:0:1 - - [05/Jul/2017:15:00:20 +0800] "GET /BookLib-JavaEE/bower_components/bootstrap-tour/build/css/bootstrap-tour.min.css HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [05/Jul/2017:15:00:20 +0800] "GET /BookLib-JavaEE/bower_components/responsive-tables/responsive-tables.css HTTP/1.1" 404 1093
0:0:0:0:0:0:0:1 - - [05/Jul/2017:15:00:20 +0800] "GET /BookLib-JavaEE/img/logo20.png HTTP/1.1" 200 1091
0:0:0:0:0:0:0:1 - - [05/Jul/2017:15:00:32 +0800] "GET /BookLib-JavaEE/manage_user HTTP/1.1" 200 12284
0:0:0:0:0:0:0:1 - - [05/Jul/2017:15:00:32 +0800] "GET /BookLib-JavaEE/bower_components/fullcalendar/dist/fullcalendar.css HTTP/1.1" 404 1083
0:0:0:0:0:0:0:1 - - [05/Jul/2017:15:00:32 +0800] "GET /BookLib-JavaEE/bower_components/fullcalendar/dist/fullcalendar.print.css HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [05/Jul/2017:15:00:32 +0800] "GET /BookLib-JavaEE/bower_components/bootstrap-tour/build/css/bootstrap-tour.min.css HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [05/Jul/2017:15:00:32 +0800] "GET /BookLib-JavaEE/bower_components/colorbox/example3/colorbox.css HTTP/1.1" 404 1075
0:0:0:0:0:0:0:1 - - [05/Jul/2017:15:00:32 +0800] "GET /BookLib-JavaEE/bower_components/responsive-tables/responsive-tables.css HTTP/1.1" 404 1093
0:0:0:0:0:0:0:1 - - [05/Jul/2017:15:00:32 +0800] "GET /BookLib-JavaEE/bower_components/chosen/chosen.min.css HTTP/1.1" 404 1057
